sign_id,file_name,width_px,height_px,area_px
1,sign_001.png,26,48,333
2,sign_002.png,38,48,459
3,sign_003.png,24,48,349
4,sign_004.png,24,48,365
5,sign_005.png,29,48,449
6,sign_006.png,23,48,356
7,sign_007.png,22,48,308
8,sign_008.png,22,48,357
9,sign_009.png,44,48,625
10,sign_010.png,27,48,426
11,sign_011.png,36,48,465
12,sign_012.png,48,44,814
13,sign_013.png,48,42,668
14,sign_014.png,48,46,768
15,sign_015.png,48,48,834
16,sign_016.png,48,30,562
17,sign_017.png,25,48,481
18,sign_018.png,22,48,287
19,sign_019.png,37,48,481
20,sign_020.png,37,48,500
21,sign_021.png,36,48,368
22,sign_022.png,31,48,385
23,sign_023.png,37,48,446
24,sign_024.png,48,43,444
25,sign_025.png,27,48,385
26,sign_026.png,45,48,551
27,sign_027.png,35,48,505
28,sign_028.png,40,48,601
29,sign_029.png,48,35,658
30,sign_030.png,42,48,540
31,sign_031.png,40,48,538
32,sign_032.png,37,48,456
33,sign_033.png,48,44,520
34,sign_034.png,39,48,471
35,sign_035.png,40,48,490
36,sign_036.png,45,48,634
37,sign_037.png,35,48,503
38,sign_038.png,24,48,381
39,sign_039.png,24,48,341
40,sign_040.png,24,48,371
41,sign_041.png,40,48,395
42,sign_042.png,32,48,505
43,sign_043.png,32,48,414
44,sign_044.png,44,48,585
45,sign_045.png,48,48,944
46,sign_046.png,48,38,636
47,sign_047.png,30,48,422
48,sign_048.png,37,48,544
49,sign_049.png,21,48,500
50,sign_050.png,46,48,1007
51,sign_051.png,25,48,558
52,sign_052.png,36,48,890
53,sign_053.png,48,45,635
54,sign_054.png,28,48,561
55,sign_055.png,29,48,590
56,sign_056.png,22,48,357
57,sign_057.png,32,48,643
58,sign_058.png,29,48,476
59,sign_059.png,26,48,423
60,sign_060.png,38,48,577
61,sign_061.png,48,40,623
62,sign_062.png,48,46,648
63,sign_063.png,48,36,809
64,sign_064.png,48,37,809
65,sign_065.png,25,48,504
66,sign_066.png,41,48,576
67,sign_067.png,28,48,459
68,sign_068.png,40,48,565
69,sign_069.png,33,48,566
70,sign_070.png,27,48,456
71,sign_071.png,36,48,594
72,sign_072.png,27,48,508
73,sign_073.png,35,48,648
74,sign_074.png,33,48,524
75,sign_075.png,21,48,513
76,sign_076.png,45,48,680
77,sign_077.png,25,48,494
78,sign_078.png,27,48,527
79,sign_079.png,35,48,656
80,sign_080.png,40,48,878
81,sign_081.png,44,48,697
82,sign_082.png,48,42,711
83,sign_083.png,48,33,448
84,sign_084.png,24,48,501
85,sign_085.png,40,48,706
86,sign_086.png,3,48,122
87,sign_087.png,14,48,254
88,sign_088.png,33,48,456
89,sign_089.png,25,48,530
90,sign_090.png,48,46,572
91,sign_091.png,40,48,610
92,sign_092.png,24,48,429
93,sign_093.png,37,48,514
94,sign_094.png,36,48,482
95,sign_095.png,32,48,552
96,sign_096.png,42,48,637
97,sign_097.png,8,48,374
98,sign_098.png,8,48,300
99,sign_099.png,29,48,697
100,sign_100.png,31,48,783
101,sign_101.png,5,48,122
102,sign_102.png,30,48,748
103,sign_103.png,16,48,265
104,sign_104.png,41,48,943
105,sign_105.png,12,48,264
106,sign_106.png,48,39,838
107,sign_107.png,21,48,384
108,sign_108.png,48,30,605
109,sign_109.png,20,48,457
110,sign_110.png,48,25,562
111,sign_111.png,48,36,595
112,sign_112.png,32,48,528
113,sign_113.png,48,41,750
114,sign_114.png,31,48,525
115,sign_115.png,48,32,827
116,sign_116.png,37,48,632
117,sign_117.png,48,44,672
118,sign_118.png,39,48,804
119,sign_119.png,27,48,460
120,sign_120.png,29,48,476
121,sign_121.png,26,48,482
122,sign_122.png,48,43,550
123,sign_123.png,13,48,247
124,sign_124.png,27,48,248
125,sign_125.png,26,48,266
126,sign_126.png,21,48,256
127,sign_127.png,17,48,263
128,sign_128.png,16,48,247
129,sign_129.png,29,48,297
130,sign_130.png,28,48,250
131,sign_131.png,45,48,536
132,sign_132.png,48,28,381
133,sign_133.png,48,37,662
134,sign_134.png,45,48,353
135,sign_135.png,46,48,621
136,sign_136.png,45,48,723
137,sign_137.png,29,48,366
138,sign_138.png,36,48,422
139,sign_139.png,38,48,472
140,sign_140.png,32,48,656
141,sign_141.png,35,48,568
142,sign_142.png,44,48,670
143,sign_143.png,48,39,544
144,sign_144.png,48,44,690
145,sign_145.png,37,48,677
146,sign_146.png,41,48,465
147,sign_147.png,40,48,661
148,sign_148.png,45,48,762
149,sign_149.png,37,48,574
150,sign_150.png,35,48,620
151,sign_151.png,42,48,653
152,sign_152.png,48,41,544
153,sign_153.png,22,48,214
154,sign_154.png,11,48,244
155,sign_155.png,23,48,236
156,sign_156.png,46,48,569
157,sign_157.png,24,48,271
158,sign_158.png,21,48,289
159,sign_159.png,29,48,399
160,sign_160.png,36,48,494
161,sign_161.png,22,48,258
162,sign_162.png,22,48,290
163,sign_163.png,26,48,425
164,sign_164.png,48,46,539
165,sign_165.png,39,48,478
166,sign_166.png,40,48,484
167,sign_167.png,29,48,393
168,sign_168.png,23,48,438
169,sign_169.png,28,48,290
170,sign_170.png,26,48,389
171,sign_171.png,30,48,412
172,sign_172.png,32,48,555
173,sign_173.png,32,48,581
174,sign_174.png,36,48,572
175,sign_175.png,34,48,478
176,sign_176.png,15,48,356
177,sign_177.png,26,48,394
178,sign_178.png,30,48,342
179,sign_179.png,48,44,569
180,sign_180.png,31,48,627
181,sign_181.png,41,48,678
182,sign_182.png,34,48,558
183,sign_183.png,44,48,781
184,sign_184.png,46,48,742
185,sign_185.png,32,48,643
186,sign_186.png,29,48,478
187,sign_187.png,37,48,632
188,sign_188.png,33,48,572
189,sign_189.png,34,48,651
190,sign_190.png,34,48,726
191,sign_191.png,40,48,645
192,sign_192.png,33,48,554
193,sign_193.png,33,48,792
194,sign_194.png,46,48,568
195,sign_195.png,33,48,450
196,sign_196.png,48,48,524
197,sign_197.png,35,48,389
198,sign_198.png,32,48,530
199,sign_199.png,34,48,410
200,sign_200.png,33,48,411
201,sign_201.png,33,48,567
202,sign_202.png,37,48,560
203,sign_203.png,42,48,500
204,sign_204.png,46,48,594
205,sign_205.png,24,48,404
206,sign_206.png,38,48,645
207,sign_207.png,48,45,718
208,sign_208.png,40,48,775
209,sign_209.png,45,48,537
210,sign_210.png,46,48,713
211,sign_211.png,27,48,334
212,sign_212.png,40,48,485
213,sign_213.png,27,48,346
214,sign_214.png,48,41,568
215,sign_215.png,48,31,735
216,sign_216.png,48,45,584
217,sign_217.png,48,25,392
218,sign_218.png,48,23,374
219,sign_219.png,48,42,751
220,sign_220.png,48,37,638
221,sign_221.png,48,41,656
222,sign_222.png,48,41,537
223,sign_223.png,48,45,640
224,sign_224.png,48,38,436
225,sign_225.png,48,48,655
226,sign_226.png,48,33,384
227,sign_227.png,48,42,519
228,sign_228.png,39,48,609
229,sign_229.png,48,40,708
230,sign_230.png,48,40,669
231,sign_231.png,48,48,1029
232,sign_232.png,48,46,898
233,sign_233.png,42,48,621
234,sign_234.png,39,48,666
235,sign_235.png,48,40,675
236,sign_236.png,48,48,924
237,sign_237.png,16,48,393
238,sign_238.png,17,48,418
239,sign_239.png,19,48,460
240,sign_240.png,30,48,930
241,sign_241.png,26,48,748
242,sign_242.png,29,48,511
243,sign_243.png,29,48,617
244,sign_244.png,33,48,575
245,sign_245.png,34,48,809
246,sign_246.png,48,46,1029
247,sign_247.png,46,48,1141
248,sign_248.png,48,36,755
249,sign_249.png,29,48,370
250,sign_250.png,40,48,458
251,sign_251.png,29,48,562
252,sign_252.png,27,48,416
253,sign_253.png,29,48,401
